Designator,Footprint,Quantity,Value,LCSC Part #
"D1, D2",LED_D3.0mm,2,LED,
J1,PinSocket_1x15_P2.54mm_Vertical,1,Analog,
"J10, J12","TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal",2,OUTPUT A,
"J11, J13","TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal",2,OUTPUT B,
J14,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,Active I2C port,
J2,PinSocket_1x15_P2.54mm_Vertical,1,Digital,
J3,"TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal",1,12VDC INPUT,
J4,"TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal",1,5VDC INPUT,
J5,"TerminalBlock_Phoenix_MKDS-1,5-6-5.08_1x06_P5.08mm_Horizontal",1,TB6600 OUTPUT A,
J6,"TerminalBlock_Phoenix_MKDS-1,5-6-5.08_1x06_P5.08mm_Horizontal",1,TB6600 OUTPUT B,
J7,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,Active UART port,
J8,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,RELAY OUTPUT B,
J9,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,RELAY OUTPUT A,
R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,330,
R2,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,1k,
